employee_id,first_name,last_name,address,city,country,postal,phone,email,department,position,emergency_contact_name,emergency_contact_phone,dob,created,address_lat,address_lon
E600028,Barbara,Johnson,61 Main Drive,Point Cook,Australia,3030,0459904945,Barbara.Johnson@djpr.gov.xx,"Jobs, Precincts and Regions",Assistant,David,04278743654,16-Sep-1990,11-Sep-2019,-37.91854610014346,144.7550351700637
E600029,Cassidy,Willis,38 Raymond Street,Preston,Australia,3072,0423758954,Cassidy.Willis@dpc.gov.xx,Premier and Cabient,Administator,Kathy,0447287197,03-May-1985,26-Nov-2016,-37.7396458609253,144.9844260952031
E600030,Lauren,Li,79 Oldfield Place,Point Cook,Australia,3030,0411957429,Lauren.Li@health.gov.xx,Health,Assistant,Deanna,04369991849,15-May-1990,29-Oct-2018,-37.8907255,144.74580776897164
E600031,Jennifer,Ramirez,51 Trenerry Crescent,Abbotsford,Australia,3067,0428253302,Jennifer.Ramirez@dtf.gov.xx,Treasury and Finance,Operations,Christopher,04241710455,10-Feb-1988,27-Mar-2017,-37.797944599999994,144.99866919807693
E600032,Carl,Allen,100 O'Connor Street,Brunswick East,Australia,3057,0436904959,Carl.Allen@health.gov.xx,Health,Consultant,Andrew,0477646338,01-Mar-1989,22-Apr-2016,-37.773461681250005,144.97303926249998
E600033,Howard,Anderson,75 Crown Street,Flemington,Australia,3031,0473359595,Howard.Anderson@delwp.gov.xx,"Environment, Land, Water and Planning",Consultant,Laura,04477337014,08-Dec-1972,07-Sep-2019,-37.7859036,144.9229939907118
E600034,Kelly,West,86 Kiewa Street,Doncaster,Australia,3108,0447694105,Kelly.West@dpc.gov.xx,Premier and Cabient,Operations,Crystal,04336948257,14-Mar-1977,24-Oct-2018,-37.7884536,145.1398863
E600035,Maria,Martin,50 Aviation Road,Werribee South,Australia,3030,0475795434,Maria.Martin@transport.gov.xx,Transport,Manager,Nathan,04303628273,24-May-1982,25-Oct-2019,-37.9253519,144.710914
E600036,Alexis,Li,65 Colman Road,Warrandyte South,Australia,3114,0440911994,Alexis.Li@education.gov.xx,Education and Training,Assistant,Rick,04472850031,27-Aug-1962,03-Feb-2016,-37.76718600580098,145.23617960412537
E600037,Joseph,Smith,97 Service Street,Sunshine,Australia,3020,0449459207,Joseph.Smith@health.gov.xx,Health,Operations,Carolyn,04194341670,20-Nov-1983,30-Sep-2015,-37.7813519,144.83094822616061
E600038,Megan,Hill,81 Victor Street,Beaumaris,Australia,3193,0467999041,Megan.Hill@delwp.gov.xx,"Environment, Land, Water and Planning",Consultant,Kathy,04530867824,18-Mar-1980,27-Feb-2019,-37.9901151,145.02447585584173
E600039,Matthew,Smith,117 Swanston Street,Parkville,Australia,3503,0435468993,Matthew.Smith@dffh.gov.xx,"Families, Fairness and Housing",Administator,Lisa,04604718474,12-Nov-1963,08-Aug-2017,-37.795055500000004,144.9637865983364
E600040,Kelli,Huffman,39 Summerhill Road,Templestowe,Australia,3106,0477545408,Kelli.Huffman@dtf.gov.xx,Treasury and Finance,Administator,Craig,04184332488,18-Mar-1957,02-Apr-2015,-37.74646294695798,145.13754026700565
E600041,Elizabeth,Smith,39 Swan Street,Keilor Park,Australia,3042,0461737566,Elizabeth.Smith@transport.gov.xx,Transport,Analyst,Steven,04320696814,16-May-1977,24-Dec-2019,-37.723434652187166,144.85218890600493
E600042,Austin,Rodriguez,67 Whitney Way,Epping,Australia,3752,0447966461,Austin.Rodriguez@education.gov.xx,Education and Training,Trainer,Jennifer,04545263294,06-Feb-1971,15-Dec-2015,-37.6397012,145.0603671
E600043,Angela,David,99 McGowan Avenue,Preston,Australia,3071,0471748133,Angela.David@dpc.gov.xx,Premier and Cabient,Administator,Lisa,04622886519,22-Feb-1978,30-Jul-2015,-37.733841,144.98497633333332
E600044,Francisco,Logan,28 Dunstan Parade,Port Melbourne,Australia,3207,0423841952,Francisco.Logan@health.gov.xx,Health,Advisor,Justin,04138422770,09-Apr-1969,09-Mar-2017,-37.83695515,144.9228895772023
E600045,Erik,Gray,92 Western Avenue,Melbourne Airport,Australia,3049,0471856039,Erik.Gray@dffh.gov.xx,"Families, Fairness and Housing",Team Leader,Theresa,04646572683,04-Aug-1987,20-Jul-2018,-37.68317211545354,144.87589972359658
E600046,Michelle,Schultz,111 Box Forest Road,Glenroy,Australia,3060,0427916200,Michelle.Schultz@education.gov.xx,Education and Training,Consultant,Robert,0425450420,19-Mar-1964,28-Mar-2019,-37.70370437554108,144.9533884337427
E600047,Wyatt,Jones,52 Foundation Road,Truganina,Australia,3029,0440240268,Wyatt.Jones@dtf.gov.xx,Treasury and Finance,Advisor,Sarah,04410348671,31-Dec-1981,14-Apr-2015,-37.83600988723577,144.76265007174393
E600048,William,Parker,70 Uganda Street,Burwood,Australia,3128,0447178341,William.Parker@health.gov.xx,Health,Administator,Elizabeth,04561979849,07-Aug-1959,14-May-2018,-37.8440206473671,145.10706519696694
E600049,Sandra,Mata,112 Garrett Court,Mill Park,Australia,3082,0435660956,Sandra.Mata@health.gov.xx,Health,Operations,Mary,04590179327,31-Oct-1985,08-Sep-2018,-37.66838645,145.06319550149743
E600050,Mary,Porter,54 Grandview Street,Glenroy,Australia,3041,0448265367,Mary.Porter@dffh.gov.xx,"Families, Fairness and Housing",Assistant,Keith,0495822776,18-Apr-1991,24-Apr-2018,-37.70762281006626,144.91491394462864
E600051,Jessica,Cox,51 Eastwood Avenue,Preston,Australia,3071,0460898694,Jessica.Cox@dtf.gov.xx,Treasury and Finance,Administator,Anthony,04213595605,03-Sep-1969,09-Nov-2017,-37.73835,144.9979176
E600052,Jennifer,Hess,36 Harcourt Street,Hawthorn East,Australia,3123,0422410724,Jennifer.Hess@delwp.gov.xx,"Environment, Land, Water and Planning",Trainer,Felicia,04424423270,01-Jul-1964,15-Jan-2015,-37.818127243649926,145.04832095992683
E600053,Erica,Hale,79 Hume Highway,Campbellfield,Australia,3061,0442687418,Erica.Hale@health.gov.xx,Health,Advisor,Kelly,04169597201,24-Jan-1972,22-Oct-2015,-37.67303439687268,144.95591942533238
E600054,Anna,Whitney,74 Lakeside Avenue,Reservoir,Australia,3073,0468987206,Anna.Whitney@education.gov.xx,Education and Training,Team Leader,Jacob,0493326257,24-Jan-1991,13-Jul-2016,-37.7097044,144.9878409
E600055,Jamie,Castro,35 Koonung Creek Trail,Mont Albert North,Australia,3129,0470482060,Jamie.Castro@health.gov.xx,Health,Advisor,David,04633933620,25-Jan-1979,24-Mar-2018,-37.796177625996066,145.1135686483089
E600056,John,Anderson,69 Lower Dandenong Road,Dingley Village,Australia,3173,0428974084,John.Anderson@dtf.gov.xx,Treasury and Finance,Operations,Michael,04314416716,11-Apr-1988,13-Dec-2019,-37.9964097,145.13683553746364
E600057,Deborah,Singh,50 Dudley Street,Essendon North,Australia,3041,0433572670,Deborah.Singh@education.gov.xx,Education and Training,Administator,Keith,04526617259,29-Apr-1964,04-Apr-2018,-37.73662788526578,144.89336872995543
E600058,Heidi,Weiss,49 Edgecliffe Court,Bundoora,Australia,3087,0437025666,Heidi.Weiss@delwp.gov.xx,"Environment, Land, Water and Planning",Analyst,Susan,04284778288,02-Aug-1962,20-Jul-2015,-37.68494550906518,145.08415288225086
E600059,Alejandra,Pena,121 Stocks Road,Mount Waverley,Australia,3125,0428579996,Alejandra.Pena@transport.gov.xx,Transport,Manager,Charlene,04564025160,16-Jun-1978,10-Jul-2016,-37.86758891073277,145.11636845780086
E600060,Alex,Rice,75 Richardson Street,Carlton North,Australia,3054,0470418104,Alex.Rice@education.gov.xx,Education and Training,Advisor,Catherine,04100400195,26-Oct-1976,14-Apr-2017,-37.78438544576105,144.97039863904226
E600061,Melissa,White,40 McMahon Road,Reservoir,Australia,3073,0425347868,Melissa.White@djpr.gov.xx,"Jobs, Precincts and Regions",Team Leader,Sophia,04176780178,27-May-1988,21-Mar-2016,-37.711426046020115,145.02224969016012
E600062,Donna,Stewart,84 Lebanon Street,Strathmore,Australia,3041,0437648175,Donna.Stewart@health.gov.xx,Health,Analyst,Natasha,0436057223,18-Apr-1959,01-Jan-2017,-37.723241336998385,144.9069807896969
E600063,Dylan,Stevens,38 Ilma Court,Bulleen,Australia,3105,0421386945,Dylan.Stevens@delwp.gov.xx,"Environment, Land, Water and Planning",Operations,Steven,04537429664,16-Mar-1964,05-Feb-2018,-37.766773773873375,145.0796758057767
E600064,Yesenia,Mendoza,61 Milburn Road,Keilor,Australia,3036,0472106337,Yesenia.Mendoza@djpr.gov.xx,"Jobs, Precincts and Regions",Administator,April,04523027789,11-Jun-1976,06-May-2018,-37.70756336012895,144.83430964441465
E600065,Cody,Ochoa,63 Trafford Street,Brunswick,Australia,3057,0462641341,Cody.Ochoa@dffh.gov.xx,"Families, Fairness and Housing",Team Leader,Ryan,04265543865,04-Mar-1971,15-Apr-2018,-37.768927500000004,144.96928766644652
E600066,Derek,Mcguire,69 McNamara Street,Preston,Australia,3072,0442179707,Derek.Mcguire@education.gov.xx,Education and Training,Advisor,Joshua,04596300216,16-Sep-1976,28-Feb-2018,-37.72983685,144.98542762557815
E600067,Ann,Jordan,33 Springbank Street,Tullamarine,Australia,3045,0456490583,Ann.Jordan@health.gov.xx,Health,Manager,Jerry,04129965456,09-Apr-1958,29-Aug-2016,-37.685169842010765,144.87111514141853
E600068,Steven,Vaughn,54 Hume Road,Laverton North,Australia,3026,0477621631,Steven.Vaughn@education.gov.xx,Education and Training,Analyst,Steve,04188467839,08-Apr-1973,20-Dec-2016,-37.826225368540904,144.79668390622618
E600069,Joseph,West,47 Kiora Street,Essendon,Australia,3040,0411340012,Joseph.West@education.gov.xx,Education and Training,Consultant,Amanda,04153585906,03-May-1985,15-Aug-2019,-37.74999390156246,144.92361045540687
E600070,Joseph,Bell,44 O'Hea Street,Pascoe Vale South,Australia,3044,0435190370,Joseph.Bell@dffh.gov.xx,"Families, Fairness and Housing",Administator,Mark,04127721127,25-Mar-1991,02-Feb-2017,-37.73567330373876,144.94605991520416
E600071,Sarah,Murphy,115 Minter Court,Park Orchards,Australia,3114,0435243439,Sarah.Murphy@health.gov.xx,Health,Operations,Christopher,04645025892,18-May-1984,26-May-2018,-37.76536072492366,145.21628922572052
E600072,Cassandra,Cook,39 Baldwin Road,Altona North,Australia,3025,0416035355,Cassandra.Cook@dtf.gov.xx,Treasury and Finance,Advisor,Tiffany,04183896943,22-Feb-1992,25-Apr-2019,-37.840280572625176,144.82038276873345
E600073,Ricardo,Mckinney,40 Barkly Street,West Footscray,Australia,3012,0464591895,Ricardo.Mckinney@education.gov.xx,Education and Training,Consultant,Julia,04585261129,16-Sep-1979,20-Dec-2018,-37.7959467,144.8632539
E600074,Scott,Hancock,103 Wolfson Court,Attwood,Australia,3049,0430066081,Scott.Hancock@health.gov.xx,Health,Assistant,Heather,04408051913,28-Jul-1960,13-Jul-2017,-37.6724537,144.8783732
E600075,Tiffany,Wallace,98 Gourlay Road,Caroline Springs,Australia,3037,0411757475,Tiffany.Wallace@djpr.gov.xx,"Jobs, Precincts and Regions",Consultant,John,04330237858,23-Sep-1983,07-Jul-2015,-37.70585182657717,144.74154887137706
E600076,Hector,Soto,83 Lowana Crescent,Forest Hill,Australia,3151,0419814620,Hector.Soto@dffh.gov.xx,"Families, Fairness and Housing",Director,Krystal,04647559707,22-Sep-1964,15-Nov-2016,-37.84814835,145.16800551315433
E600077,David,Mosley,93 Manley Avenue,Roxburgh Park,Australia,3048,0439432711,David.Mosley@dpc.gov.xx,Premier and Cabient,Assistant,Hannah,0483401983,15-Aug-1989,25-May-2018,-37.63740362005638,144.9257899894889
E600078,Erica,Hodges,116 Camperdown Avenue,Sunshine North,Australia,3020,0422861506,Erica.Hodges@education.gov.xx,Education and Training,Administator,Kathryn,04523076636,13-Aug-1986,14-Apr-2016,-37.76396365455054,144.8221259691424
E600079,Carol,Juarez,89 Boundary Road,Derrimut,Australia,3026,0419537179,Carol.Juarez@dffh.gov.xx,"Families, Fairness and Housing",Analyst,Craig,04397226046,10-Jul-1963,25-Mar-2019,-37.81205399799422,144.77027363014517
E600080,Mary,Williams,99 Nepean Street,Greensborough,Australia,3088,0445948550,Mary.Williams@transport.gov.xx,Transport,Team Leader,Charles,04496942447,06-Mar-1986,26-Nov-2016,-37.71387045514486,145.10832209642723
E600081,Charles,Jackson,93 Devonshire Road,Watsonia,Australia,3087,0477640645,Charles.Jackson@health.gov.xx,Health,Analyst,Richard,04642751300,18-May-1990,13-Aug-2018,-37.71380639811596,145.08067650222605
E600082,Jerry,Mccoy,114 Orr Street,Strathmore,Australia,3040,0436032063,Jerry.Mccoy@education.gov.xx,Education and Training,Advisor,Amanda,04423348414,28-Nov-1970,26-Oct-2016,-37.73884046039041,144.91221412971544
E600083,Jennifer,Hodges,31 Hobsons Bay Coastal Trail,Williamstown,Australia,3016,0427914222,Jennifer.Hodges@dpc.gov.xx,Premier and Cabient,Advisor,Benjamin,04618377572,22-Dec-1962,09-Nov-2016,-37.8601517,144.90538320474275
E600084,Angela,Gonzales,28 Fred St,Point Cook,Australia,3030,0443437337,Angela.Gonzales@health.gov.xx,Health,Analyst,Allison,04386272094,30-Dec-1981,24-Feb-2018,-36.5986096,144.6780052
E600085,Carol,Wilson,62 Historic Bridge,Keilor,Australia,3036,0444030688,Carol.Wilson@health.gov.xx,Health,Coordinator,Joseph,04668230321,05-Jul-1979,01-Oct-2016,-37.7235987,144.8403103
E600086,Monica,Anderson,95 Williams Road,Point Cook,Australia,3030,0436071967,Monica.Anderson@dffh.gov.xx,"Families, Fairness and Housing",Coordinator,Keith,04520555038,04-Jul-1987,17-Jul-2015,-37.9360131,144.7447049
E600087,Angela,Stafford,121 Hillboro Court,Watsonia,Australia,3087,0414996278,Angela.Stafford@education.gov.xx,Education and Training,Administator,Lauren,04478435658,02-Feb-1962,24-Aug-2015,-37.7032459,145.0829499
E600088,Brittany,Rowland,79 Mary St,Broadmeadows,Australia,3047,0439711480,Brittany.Rowland@djpr.gov.xx,"Jobs, Precincts and Regions",Coordinator,Sarah,04327767087,29-Apr-1971,17-Feb-2015,-37.5781063,144.8387784
E600089,Brett,Foster,120 Aldershot Drive,Keilor Downs,Australia,3038,0438879329,Brett.Foster@health.gov.xx,Health,Advisor,Lauren,0429702426,15-Oct-1962,04-Aug-2016,-37.71983536055352,144.81206956054527
E600090,Pamela,Webb,98 Lakeside Drive,Lower Plenty,Australia,3093,0413721207,Pamela.Webb@health.gov.xx,Health,Assistant,Jacqueline,04668918217,29-Oct-1964,03-May-2019,-37.7374382,145.1100035
E600091,April,Pena,92 Pilgrim Street,Seddon,Australia,3011,0454505849,April.Pena@health.gov.xx,Health,Administator,Patricia,04425159613,27-Jul-1962,27-Sep-2014,-37.8042873,144.8859722
E600092,Mary,Green,100 Oak Street,Preston,Australia,3081,0439755977,Mary.Green@dffh.gov.xx,"Families, Fairness and Housing",Advisor,Mary,04614212174,03-Dec-1978,08-Jan-2015,-37.7344065875462,145.0289265798857
E600093,Wesley,Li,87 Jenny Rd,Point Cook,Australia,3030,0457241007,Wesley.Li@health.gov.xx,Health,Administator,Christopher,04553378588,30-May-1970,25-Dec-2014,-36.5986096,144.6780052
E600094,John,Hampton,72 Glenmanor Close,Templestowe,Australia,3106,0411469115,John.Hampton@djpr.gov.xx,"Jobs, Precincts and Regions",Coordinator,Alyssa,04380559429,15-Oct-1959,02-Jan-2015,-37.7600324,145.1643711
E600095,Alicia,Ingram,117 Broad Gully Road,Diamond Creek,Australia,3091,0460586908,Alicia.Ingram@education.gov.xx,Education and Training,Advisor,Lauren,0476407384,19-Feb-1976,12-Dec-2017,-37.64372319828567,145.16763597568274
E600096,Robert,Bell,54 Sanctuary Lakes South Boulevard,Point Cook,Australia,3030,0431923348,Robert.Bell@dpc.gov.xx,Premier and Cabient,Operations,Ricardo,04631244534,10-Jun-1957,11-Mar-2016,-37.902886845896774,144.76337256892973
E600097,Joshua,Rivera,90 Footscray Road,West Melbourne,Australia,3031,0447373696,Joshua.Rivera@education.gov.xx,Education and Training,Assistant,Fred,0472321434,29-Jan-1980,25-Feb-2016,-37.80755525632129,144.91863605343937
E600098,Cody,Jefferson,68 Harry St,Cheltenham,Australia,3192,0453330601,Cody.Jefferson@education.gov.xx,Education and Training,Trainer,Margaret,04259842948,13-Jul-1982,08-Jan-2018,-36.5986096,144.6780052
E600099,Crystal,Anderson,81 Little Park Street,South Yarra,Australia,3141,0415745286,Crystal.Anderson@dffh.gov.xx,"Families, Fairness and Housing",Assistant,Mary,04518501295,11-Jan-1978,06-Oct-2019,-37.83657350830671,144.98185540726055
E600100,Samantha,Smith,123 St Albans Road,Sunshine North,Australia,3020,0463252500,Samantha.Smith@health.gov.xx,Health,Operations,John,04350634258,26-Apr-1964,04-Apr-2018,-37.76358049659344,144.81468632173244
E600101,Stephanie,Aguirre,58 Alice Street,Coburg,Australia,3058,0432948101,Stephanie.Aguirre@education.gov.xx,Education and Training,Coordinator,Alyssa,04364028294,23-Aug-1973,27-Jan-2017,-37.741913246478305,144.95733232168558
E600102,Lisa,Johns,54 Mount Pleasant Road,Research,Australia,3113,0459266411,Lisa.Johns@health.gov.xx,Health,Analyst,Kimberly,04360127512,21-Dec-1961,09-May-2016,-37.7150624,145.1898892
E600103,Elizabeth,Moyer,107 Palm Street,Fairfield,Australia,3078,0412078122,Elizabeth.Moyer@health.gov.xx,Health,Administator,Nichole,04355048643,10-Mar-1983,07-Oct-2014,-37.77141003974975,145.02398762094765
E600104,Geoffrey,Hayes,48 Crest Road,Research,Australia,3096,0412559159,Geoffrey.Hayes@health.gov.xx,Health,Analyst,Adam,04127101827,10-Oct-1986,17-Jan-2020,-37.69388007510961,145.1912915503753
E600105,Carla,Waters,119 Patterson Avenue,Keilor,Australia,3036,0429649078,Carla.Waters@djpr.gov.xx,"Jobs, Precincts and Regions",Advisor,Marcus,04165412544,14-Sep-1989,05-May-2017,-37.7192457,144.8216562
E600106,Bradley,Diaz,83 Berwick Court,Sunshine West,Australia,3020,0463936200,Bradley.Diaz@education.gov.xx,Education and Training,Coordinator,Chad,04167093580,27-Sep-1962,24-Apr-2015,-37.7925889,144.8240963
E600107,William,Wang,20 Brightly Boulevard,Truganina,Australia,3029,0413708800,William.Wang@health.gov.xx,Health,Operations,Christopher,04615234239,15-Nov-1969,23-Apr-2016,-37.82695208725285,144.7275785109222
E600108,Mark,Vasquez,101 Moore Street,Moonee Ponds,Australia,3039,0450479066,Mark.Vasquez@health.gov.xx,Health,Operations,Deborah,04278357479,17-Jun-1972,06-Oct-2014,-37.772083134660555,144.92085900173424
E600109,Kathy,Vincent,60 Stephen Street,Yarraville,Australia,3013,0432556252,Kathy.Vincent@health.gov.xx,Health,Operations,Devin,04528598967,24-Sep-1968,09-Aug-2019,-37.8123468,144.8958129
E600110,Morgan,Gregory,61 Victoria Parade,Collingwood,Australia,3066,0463327501,Morgan.Gregory@education.gov.xx,Education and Training,Consultant,April,04224764359,20-Oct-1975,03-Nov-2017,-37.808844,144.985305
E600111,Amanda,Curtis,53 Melbourne Hill Road,Warrandyte,Australia,3113,0414257123,Amanda.Curtis@djpr.gov.xx,"Jobs, Precincts and Regions",Analyst,Michele,04177703481,30-Jun-1973,08-Nov-2017,-37.74733590660358,145.2008000370398
E600112,Matthew,Moyer,41 Hobsons Bay Coastal Trail,Altona,Australia,3028,0466110170,Matthew.Moyer@education.gov.xx,Education and Training,Analyst,Larry,04371224082,13-Feb-1980,09-Sep-2014,-37.8801509,144.8031917
E600113,Kevin,Harris,62 Happy Hollow Track,Plenty,Australia,3090,0419858515,Kevin.Harris@education.gov.xx,Education and Training,Analyst,Austin,04488192464,12-Jul-1978,24-Dec-2019,-37.679820324233916,145.10322185965276
E600114,Shannon,Crawford,43 Dalton Road,Thomastown,Australia,3074,0474428922,Shannon.Crawford@dffh.gov.xx,"Families, Fairness and Housing",Trainer,Matthew,04112336814,11-Nov-1985,28-Jul-2015,-37.68907292221783,145.02700249019193
E600115,Sara,Anderson,109 Cheddar Road,Reservoir,Australia,3073,0445782469,Sara.Anderson@education.gov.xx,Education and Training,Team Leader,Keith,04127497134,25-Dec-1967,24-Aug-2015,-37.7128191,145.0098471
E600116,Angela,Davis,26 Mick Rd,Point Cook,Australia,3030,0448330801,Angela.Davis@health.gov.xx,Health,Administator,Alexis,04154667088,09-Nov-1975,14-Feb-2016,-37.9144459431598,144.67888635099692
E600117,Daniel,Willis,37 Bryan Avenue,Altona North,Australia,3025,0444403162,Daniel.Willis@education.gov.xx,Education and Training,Advisor,Dawn,04673521303,06-Mar-1970,25-Jan-2019,-37.84605163672952,144.84886627799096
E600118,Elizabeth,Morris,69 Stewart Street,Brunswick,Australia,3057,0458021243,Elizabeth.Morris@education.gov.xx,Education and Training,Administator,Laurie,04653211606,28-Apr-1964,10-Jun-2015,-37.76407542857143,144.96766667959182
E600119,Caleb,Morris,30 Finch Street,Altona,Australia,3018,0424764594,Caleb.Morris@health.gov.xx,Health,Coordinator,Gerald,0476359680,09-Jul-1969,07-Apr-2018,-37.87492785,144.80545396531085
