supplier_id,supplier_name,company_id,first_name,last_name,position,address,city,country,postal,phone,email,ytd_value,category,created,address_lat,address_lon
S3038,Patrick Apparel,ABN 48 339 691 515,Timothy,Savage,Team Leader,123 Orbital Drive,Kealba,Australia,3021,0438039717,TimothyS@Patrick.com,170000,Apparel,21-Sep-2019,-37.739595484384886,144.82866776747156
S3039,Sarah Accounting,ABN 45 340 804 343,Willie,Lee,Director,97 Tenth Avenue,Carlton North,Australia,3054,0451640055,WillieL@Sarah.com,550000,Accounting,23-Sep-2017,-37.7855345,144.9663802
S3040,Stephanie Finance,ABN 42 341 567 697,Michael,Richardson,Administator,86 Champion Road,Williamstown North,Australia,3016,0413716579,MichaelR@Stephanie.com,170000,Finance,13-Jun-2016,-37.85105615,144.88000858193442
S3041,Paul Builders,ABN 46 342 354 501,Pedro,Nelson,Assistant,118 Winjeel Court,Braybrook,Australia,3019,0416728995,PedroN@Paul.com,20000,Builders,16-Dec-2018,-37.79289890703427,144.85712467518013
S3042,Laura Events,ABN 46 343 795 444,Carla,Oconnell,Assistant,55 Sherwood Road,Eaglemont,Australia,3079,0435027130,CarlaO@Laura.com,650000,Events,04-Jun-2017,-37.759880298163324,145.0555510474832
S3043,Kevin Computers,ABN 44 344 159 482,Rebecca,Sosa,Team Leader,87 Agar Drive,Truganina,Australia,3023,0432529367,RebeccaS@Kevin.com,780000,Computers,02-Dec-2014,-37.7988434,144.7450367
S3044,Ronald Hotel,ABN 46 345 649 637,Angela,Saunders,Consultant,87 Jolimont Road,Forest Hill,Australia,3133,0426044008,AngelaS@Ronald.com,60000,Hotel,15-May-2019,-37.844325228003356,145.1823267180486
S3045,Rachel Accounting,ABN 47 346 628 832,Adam,Thomas,Team Leader,32 Main Yarra Trail Capital City Trail,Burnley,Australia,3121,0459283577,AdamT@Rachel.com,650000,Accounting,26-Sep-2019,-37.8278534,145.0239249
S3046,Cindy Clinic,ABN 41 347 279 364,Roy,Carter,Administator,123 Fred St,Footscray,Australia,3011,0464167315,RoyC@Cindy.com,180000,Clinic,13-Sep-2014,-36.5986096,144.6780052
S3047,Whitney Management,ABN 41 348 545 880,Charles,Mason,Director,45 Little Osborne Street,Williamstown,Australia,3016,0422858715,CharlesM@Whitney.com,670000,Management,24-Nov-2019,-37.86532158910756,144.8916051002756
S3048,Christie Property,ABN 45 349 357 654,Virginia,Wilcox,Administator,85 Newsom Street,Ascot Vale,Australia,3032,0425490761,VirginiaW@Christie.com,620000,Property,16-Jan-2019,-37.77326173958255,144.90573087717874
S3049,Maria Property,ABN 46 350 736 329,Betty,Cook,Team Leader,80 Mornington Peninsula Freeway Onramp,Braeside,Australia,3195,0436067698,BettyC@Maria.com,800000,Property,09-May-2018,-38.00583623767548,145.12238391208777
S3050,Kristin Property,ABN 48 351 707 284,Shawn,Butler,Assistant,119 Tate Street,Pascoe Vale,Australia,3044,0437124213,ShawnB@Kristin.com,880000,Property,20-Jan-2018,-37.733338,144.9265725
S3051,Jacob Physiotherapy,ABN 44 352 560 555,Stephen,Murphy,Operations,73 Ellesmere Parade,Rosanna,Australia,3084,0451519526,StephenM@Jacob.com,520000,Physiotherapy,23-Jan-2015,-37.73195178972593,145.067004202983
S3052,Nicole Services,ABN 41 353 692 664,David,Fernandez,Manager,47 Riverside Track,South Morang,Australia,3090,0460313061,DavidF@Nicole.com,710000,Services,30-May-2018,-37.665243,145.0893068
S3053,Kevin Clinic,ABN 46 354 260 532,Christina,Bauer,Director,29 Louisa Court,Oakleigh South,Australia,3165,0432388190,ChristinaB@Kevin.com,200000,Clinic,20-Mar-2019,-37.9349186,145.08155004023774
S3054,Tony Builders,ABN 42 355 413 240,Danielle,Wu,Team Leader,94 High Street Road,Wantirna South,Australia,3133,0460873477,DanielleW@Tony.com,220000,Builders,18-Aug-2019,-37.877313,145.192283
S3055,Nicholas Computers,ABN 44 356 165 369,Andres,Cruz,Manager,105 Salisbury Court,Sydenham,Australia,3037,0429276262,AndresC@Nicholas.com,130000,Computers,24-Jun-2016,-37.6928394,144.7597736
S3056,Alex Apparel,ABN 43 357 160 878,Amber,Huffman,Consultant,61 Kokoda Road,Williamstown,Australia,3016,0467145822,AmberH@Alex.com,740000,Apparel,19-Jun-2017,-37.85941985,144.88497058074302
S3057,Sara Lawyers,ABN 41 358 411 432,Stacey,Mcgee,Operations,53 Yarra Boulevard,Kew,Australia,3078,0442389755,StaceyM@Sara.com,270000,Lawyers,21-Aug-2018,-37.794652,145.0161321
S3058,Barbara Cleaning,ABN 42 359 586 265,William,Ross,Executive,100 Calendula Circuit,Epping,Australia,3082,0447763002,WilliamR@Barbara.com,600000,Cleaning,18-Jan-2015,-37.650034233882806,145.05543642137815
S3059,Matthew Lawyers,ABN 43 360 354 182,Kristina,Brown,Administator,32 Mirabella Drive,Tullamarine,Australia,3045,0432839332,KristinaB@Matthew.com,850000,Lawyers,20-May-2016,-37.7013483,144.88735000099962
S3060,Linda Property,ABN 47 361 621 790,Jason,Martinez,Team Leader,23 Carnsworth Avenue,Kew,Australia,3101,0425147491,JasonM@Linda.com,660000,Property,24-Nov-2019,-37.803665553686386,145.02333857812852
S3061,Jean Accounting,ABN 46 362 768 601,Gregory,Paul,Consultant,82 Modal Place,Altona,Australia,3018,0456671054,GregoryP@Jean.com,550000,Accounting,27-Jul-2016,-37.85000144999999,144.79344678993573
S3062,Gabriel Digital,ABN 46 363 785 828,Brian,Hernandez,Executive,43 Jenny Rd,Point Cook,Australia,3030,0439713494,BrianH@Gabriel.com,190000,Digital,08-Jul-2019,-36.5986096,144.6780052
S3063,Steven Hotel,ABN 48 364 668 375,Elizabeth,Evans,Executive,64 Foxton Street,St Albans,Australia,3021,0459378990,ElizabethE@Steven.com,560000,Hotel,30-Sep-2017,-37.745848809197945,144.80647622005694
S3064,Christine Trading,ABN 43 365 431 228,Ronald,Barry,Operations,83 Smiley Crescent,Essendon West,Australia,3034,0462808092,RonaldB@Christine.com,760000,Trading,22-Sep-2015,-37.758737400023094,144.8889796362701
S3065,Kimberly Apparel,ABN 42 366 780 774,Randall,Garza,Administator,123 Hopetoun Avenue,Reservoir,Australia,3072,0423266257,RandallG@Kimberly.com,340000,Apparel,07-Jun-2016,-37.7263194318436,144.98854856857858
S3066,Evan Gardening,ABN 44 367 115 406,Stephen,Anderson,Manager,87 Shorts Road,Eltham,Australia,3113,0431260652,StephenA@Evan.com,470000,Gardening,09-Jan-2017,-37.7228371,145.1915301
S3067,Arthur Lawyers,ABN 42 368 492 317,Paula,Dean,Director,95 The Crescent,Port Melbourne,Australia,3207,0461282954,PaulaD@Arthur.com,820000,Lawyers,03-Feb-2020,-37.837603862855886,144.92872072336849
S3068,Michael Clinic,ABN 43 369 376 360,Ashley,Simmons,Executive,39 Phoenix Street,Sunshine North,Australia,3020,0428679190,AshleyS@Michael.com,810000,Clinic,20-May-2018,-37.775875850000006,144.83021685915344
S3069,Elaine Builders,ABN 41 370 432 783,Lori,Francis,Operations,120 George Street,St Albans,Australia,3021,0429672431,LoriF@Elaine.com,60000,Builders,25-Feb-2015,-37.73180707370309,144.80504123043775
S3070,Andrew Finance,ABN 42 371 684 433,Andrew,Martinez,Administator,57 Allendale Road,Research,Australia,3095,0459541268,AndrewM@Andrew.com,80000,Finance,29-Apr-2015,-37.6897065348877,145.16583801325513
S3071,Carol Lawyers,ABN 42 372 707 387,Sandra,Rogers,Assistant,62 Candy Crescent,Braybrook,Australia,3019,0438041915,SandraR@Carol.com,20000,Lawyers,28-Jul-2017,-37.79377255,144.86137369832227
S3072,Justin Property,ABN 45 373 645 203,Brandon,Aguirre,Team Leader,112 Rowe Street,Maribyrnong,Australia,3011,0425645523,BrandonA@Justin.com,410000,Property,05-Sep-2019,-37.78120696218957,144.88790531844776
S3073,John Apparel,ABN 45 374 774 544,Craig,Henderson,Manager,61 Sydney Street,Avondale Heights,Australia,3034,0416075200,CraigH@John.com,270000,Apparel,09-Feb-2015,-37.7671887,144.86101069415665
S3074,Ann Physiotherapy,ABN 41 375 498 344,Margaret,Hale,Operations,36 Amery Street,Reservoir,Australia,3060,0440166641,MargaretH@Ann.com,340000,Physiotherapy,30-Dec-2019,-37.696115116681796,144.98717769558186
S3075,Tiffany Apparel,ABN 45 376 312 757,Lee,Jones,Operations,73 Kingston Road,Clarinda,Australia,3169,0436273016,LeeJ@Tiffany.com,500000,Apparel,03-Aug-2019,-37.956829099030166,145.10691784367148
S3076,Stephanie Clinic,ABN 47 377 126 660,Richard,Ward,Director,42 Little Berry Street,Yarraville,Australia,3013,0432435721,RichardW@Stephanie.com,320000,Clinic,16-Nov-2016,-37.8110859,144.8962717
S3077,Michele Management,ABN 44 378 482 301,Jason,Jackson,Consultant,112 Barongarook Court,Lower Plenty,Australia,3093,0426003205,JasonJ@Michele.com,420000,Management,10-Jul-2015,-37.7245064,145.1103321
S3078,Jose Builders,ABN 44 379 589 591,Brooke,Reed,Operations,38 Christies Road,Ravenhall,Australia,3023,0416992681,BrookeR@Jose.com,40000,Builders,18-Jul-2019,-37.76432665120283,144.73894149920827
S3079,Mark Digital,ABN 47 380 123 857,Anthony,Jefferson,Team Leader,116 Argus Walk,Alphington,Australia,3078,0428126605,AnthonyJ@Mark.com,280000,Digital,30-Nov-2017,-37.78396660464285,145.02698892963508
S3080,Russell Lawyers,ABN 45 381 409 477,James,Anderson,Manager,102 Disney Street,Fawkner,Australia,3060,0424685465,JamesA@Russell.com,710000,Lawyers,15-Jun-2017,-37.69894809181092,144.96337865635917
S3081,Alexandra Builders,ABN 46 382 880 578,Lauren,Anderson,Assistant,122 Ajax Street,Truganina,Australia,3029,0442853849,LaurenA@Alexandra.com,690000,Builders,02-Aug-2016,-37.835584125518665,144.7229302073309
S3082,Nancy Management,ABN 42 383 612 748,Elizabeth,Edwards,Consultant,77 Main Street,Greensborough,Australia,3088,0428827468,ElizabethE@Nancy.com,240000,Management,19-Dec-2019,-37.7030166,145.10291768998337
S3083,Mary Clinic,ABN 47 384 405 272,Brian,Rocha,Administator,24 Boundary Road,Dingley Village,Australia,3172,0441981822,BrianR@Mary.com,670000,Clinic,05-Nov-2019,-37.967132867244985,145.11109325473674
S3084,William Finance,ABN 42 385 674 247,Brianna,Rogers,Consultant,20 Larter Court,Wantirna South,Australia,3152,0412719709,BriannaR@William.com,770000,Finance,15-Apr-2015,-37.8851558,145.2197289
S3085,Jessica Clinic,ABN 42 386 592 614,Harold,Chaney,Team Leader,89 Boundary Road,Laverton North,Australia,3026,0446009286,HaroldC@Jessica.com,310000,Clinic,26-Apr-2015,-37.81242307833912,144.77095287970292
S3086,Robert Clinic,ABN 43 387 299 747,Melissa,Harvey,Administator,114 Heard Avenue,Plenty,Australia,3090,0431160879,MelissaH@Robert.com,400000,Clinic,27-Jun-2019,-37.67060268498043,145.12682644634472
S3087,Karen Computers,ABN 46 388 106 109,Bradley,Rodriguez,Operations,107 Barkly Close,,Australia,3037,0426003398,BradleyR@Karen.com,290000,Computers,02-May-2018,-37.723762129604175,144.74103199301805
S3088,James Events,ABN 42 389 414 773,Emily,Brown,Administator,71 Bay Trail,Mentone,Australia,3194,0415683496,EmilyB@James.com,750000,Events,23-Oct-2014,-37.987552152243175,145.0569645528332
S3089,Stephen Events,ABN 46 390 827 581,Jeremy,Koch,Director,117 Timothy Court,Templestowe,Australia,3106,0411678758,JeremyK@Stephen.com,270000,Events,25-Sep-2015,-37.7460639679806,145.1536623363222
S3090,Christine Digital,ABN 43 391 498 897,Elizabeth,Larson,Administator,20 Melaleuca Close,Hillside,Australia,3037,0440208976,ElizabethL@Christine.com,490000,Digital,15-Oct-2017,-37.69407063904255,144.7368760975573
S3091,Brandy Physiotherapy,ABN 45 392 543 107,Linda,Donaldson,Director,45 Riversdale Road,Camberwell,Australia,3124,0431670201,LindaD@Brandy.com,370000,Physiotherapy,19-Aug-2018,-37.8321349,145.06096150287533
S3092,Chris Lawyers,ABN 47 393 455 339,Hector,Park,Director,112 Mulberry Parade,Heidelberg West,Australia,3081,0460440567,HectorP@Chris.com,790000,Lawyers,13-Nov-2019,-37.74508537137479,145.03894655531897
S3093,Ronald Accounting,ABN 44 394 582 439,Audrey,Ross,Manager,121 Peronne Street,Pascoe Vale South,Australia,3044,0418587507,AudreyR@Ronald.com,470000,Accounting,05-Dec-2015,-37.739809169554945,144.9366394786617
S3094,Chelsea Builders,ABN 42 395 758 883,Paige,Jimenez,Manager,115 South Centre Road,Melbourne Airport,Australia,3045,0446279033,PaigeJ@Chelsea.com,390000,Builders,04-Apr-2019,-37.70382365317058,144.8581775575742
S3095,Richard Clinic,ABN 42 396 712 319,Jennifer,Weeks,Assistant,64 Beecroft Drive,Westmeadows,Australia,3049,0456595023,JenniferW@Richard.com,780000,Clinic,04-Aug-2015,-37.676608133513184,144.87879611670664
S3096,Zachary Lawyers,ABN 44 397 380 528,Tom,Dalton,Team Leader,51 Lawson Street,Oakleigh East,Australia,3800,0431101641,TomD@Zachary.com,290000,Lawyers,08-Jan-2017,-37.904692135689594,145.1177327055794
S3097,Julie Apparel,ABN 42 398 293 588,Danielle,Riggs,Administator,36 Napier Street,South Melbourne,Australia,3205,0459157095,DanielleR@Julie.com,840000,Apparel,02-Jun-2019,-37.83521575733247,144.96597164483882
S3098,Edwin Clinic,ABN 43 399 724 727,Kyle,King,Manager,120 Perennial Drive,Sunshine North,Australia,3034,0418851059,KyleK@Edwin.com,480000,Clinic,08-Jan-2020,-37.7591215,144.8470351
S3099,Thomas Digital,ABN 45 400 298 800,Sarah,Reyes,Team Leader,68 Bushmans Way,South Morang,Australia,3090,0417618576,SarahR@Thomas.com,670000,Digital,24-Dec-2015,-37.6413204710527,145.0998560234785
